mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
11	10	27	30	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	75						1
11	10	55/2	61/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	76						1
11	10	28	31	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	77						
11	10	57/2	63/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	78						
11	10	29	32	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	79						
11	10	59/2	65/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	80						
11	10	27	30	0.5		0	0	Chord	3/4	1	2	1/8	1/8	1	81						
12	11	30	33	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	82						
12	11	31	34	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	83						
12	11	32	35	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	84						
12	11	30	33	1.0		0	0	Chord	3/4	1	2	1/4	1/4	1	85						
12	11	31	34	1.0		1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	86						
12	11	32	35	1.0		1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	87						
12	11	30	33	1.0		0	0	Chord	3/4	1	3	1/4	1/4	1	88						
12	11	31	34	1.0		1/4	1/4	Chord	3/4	1	3	1/4	1/4	1	89						
12	11	32	35	1.0		1/2	1/2	Chord	3/4	1	3	1/4	1/4	1	90						
12	11	30	33	1.0		0	0	Chord	3/4	1	4	1/4	1/4	1	91						
12	11	31	34	1.0		1/4	1/4	Chord	3/4	1	4	1/4	1/4	1	92						
12	11	32	35	1.0		1/2	1/2	Chord	3/4	1	4	1/4	1/4	1	93						
13	12	33	36	1.5		0	0	Chord	3/4	1	1	3/8	1/4	3/2	94						
13	12	69/2	75/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	95						
13	12	35	38	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	96						
13	12	71/2	77/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	97						
13	12	33	36	1.5		0	0	Chord	3/4	1	2	3/8	1/4	3/2	98						
13	12	33	36	1.5		0	0	Chord	3/4	1	3	3/8	1/4	3/2	99						
13	12	33	36	1.5		0	0	Chord	3/4	1	4	3/8	1/4	3/2	100						
14	13	36	39	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	101						
14	13	73/2	79/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	102						
14	13	37	40	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	103						
14	13	75/2	81/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	104						
14	13	38	41	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	105						
14	13	77/2	83/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	106						
14	13	36	39	1.5		0	0	Chord	3/4	1	2	3/8	1/4	3/2	107						
14	13	75/2	81/2	0.5		3/8	3/8	Chord	3/4	1	2	1/8	1/8	1	108						
14	13	38	41	1.0		1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	109						
15	14	39	42	0.25		0	0	Chord	3/4	1	1	1/16	1/16	1	110						2
15	14	157/4	169/4	0.25		1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	111						2
15	14	79/2	85/2	0.25		1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	112						2
15	14	159/4	171/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	113						
15	14	40	43	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	114						
15	14	81/2	87/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	115						
15	14	41	44	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	116						
15	14	39	42	1.0		0	0	Chord	3/4	1	2	1/4	1/4	1	117						
15	14	40	43	1.0		1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	118						
15	14	41	44	1.0		1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	119						
15	14	41	44	1.0		1/2	1/2	Chord	3/4	1	3	1/4	1/4	1	120						
16	15	42	45	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	121						
16	15	85/2	91/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	122						
16	15	43	46	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	123						
16	15	87/2	93/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	124						
16	15	44	47	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	125						
16	15	89/2	95/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	126						
16	15	42	45	1.0		0	0	Chord	3/4	1	2	1/4	1/4	1	127						
16	15	43	46	1.0		1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	128						
16	15	44	47	1.0		1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	129						
16	15	42	45	1.0		0	0	Chord	3/4	1	3	1/4	1/4	1	130						
16	15	43	46	1.0		1/4	1/4	Chord	3/4	1	3	1/4	1/4	1	131						
16	15	42	45	1.0		0	0	Chord	3/4	1	4	1/4	1/4	1	132						
16	15	43	46	1.0		1/4	1/4	Chord	3/4	1	4	1/4	1/4	1	133						
16	15	44	47	1.0		1/2	1/2	Chord	3/4	1	4	1/4	1/4	1	134						
17	16	45	48	1.5		0	0	Chord	3/4	1	1	3/8	1/4	3/2	135						
17	16	93/2	99/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	136						
17	16	47	50	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	137						
17	16	95/2	101/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	138						
17	16	45	48	1.5		0	0	Chord	3/4	1	2	3/8	1/4	3/2	139						
18	17	48	51	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	140						
18	17	49	52	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	141						
18	17	99/2	105/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	142						
18	17	50	53	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	143						
18	17	101/2	107/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	144						
18	17	48	51	1.0		0	0	Chord	3/4	1	2	1/4	1/4	1	145						
18	17	50	53	1.0		1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	146						
18	17	48	51	1.0		0	0	Chord	3/4	1	3	1/4	1/4	1	147						
18	17	48	51	1.0		0	0	Chord	3/4	1	4	1/4	1/4	1	148						
19	18	51	54	1.5		0	0	Chord	3/4	1	1	3/8	1/4	3/2	149						
19	18	105/2	111/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	150						
19	18	53	56	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	151						
19	18	51	54	1.0		0	0	Chord	3/4	1	2	1/4	1/4	1	152						
19	18	52	55	1.0		1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	153						
19	18	53	56	1.0		1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	154						
20	19	54	57	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	155						
20	19	55	58	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	156						
20	19	56	59	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	157						
20	19	54	57	1.0		0	0	Chord	3/4	1	2	1/4	1/4	1	158						
20	19	55	58	1.0		1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	159						
20	19	56	59	1.0		1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	160						
20	19	54	57	1.0		0	0	Chord	3/4	1	3	1/4	1/4	1	161						
20	19	54	57	1.0		0	0	Chord	3/4	1	4	1/4	1/4	1	162						
20	19	55	58	1.0		1/4	1/4	Chord	3/4	1	4	1/4	1/4	1	163						
20	19	56	59	1.0		1/2	1/2	Chord	3/4	1	4	1/4	1/4	1	164						
21	20	57	60	1.5		0	0	Chord	3/4	1	1	3/8	1/4	3/2	165						
21	20	117/2	123/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	166						
21	20	59	62	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	167						
21	20	57	60	1.5		0	0	Chord	3/4	1	2	3/8	1/4	3/2	168						
21	20	59	62	0.5		1/2	1/2	Chord	3/4	1	2	1/8	1/8	1	169						3
21	20	119/2	125/2	0.5		5/8	5/8	Chord	3/4	1	2	1/8	1/8	1	170						
21	20	57	60	2.0		0	0	Chord	3/4	1	3	1/2	1/2	1	171						
22	21	60	63	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	172						
22	21	121/2	127/2	0.25		1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	173						
22	21	243/4	255/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	174						
22	21	61	64	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	175						4
22	21	123/2	129/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	176						
22	21	62	65	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	177						5
22	21	125/2	131/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	178						
22	21	60	63	1.0		0	0	Chord	3/4	1	2	1/4	1/4	1	179						
23	22	63	66	1.5		0	0	Chord	3/4	1	1	3/8	1/4	3/2	180						
23	22	129/2	135/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	181						
23	22	65	68	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	182						
23	22	63	66	2.0		0	0	Chord	3/4	1	2	1/2	1/2	1	183						
23	22	65	68	1.0		1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	184						
23	22	63	66	2.0		0	0	Chord	3/4	1	3	1/2	1/2	1	185						
23	22	65	68	1.0		1/2	1/2	Chord	3/4	1	3	1/4	1/4	1	186						
23	22	65	68	1.0		1/2	1/2	Chord	3/4	1	4	1/4	1/4	1	187						
24	23	66	69	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	188						
24	23	67	70	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	189						6
24	23	135/2	141/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	190						
24	23	68	71	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	191						7
24	23	137/2	143/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	192						
24	23	66	69	1.0		0	0	Chord	3/4	1	2	1/4	1/4	1	193						
24	23	68	71	1.0		1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	194						
24	23	66	69	1.0		0	0	Chord	3/4	1	3	1/4	1/4	1	195						
24	23	66	69	1.0		0	0	Chord	3/4	1	4	1/4	1/4	1	196						
25	24	69	72	1.5		0	0	Chord	3/4	1	1	3/8	1/4	3/2	197						
25	24	141/2	147/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	198						
25	24	71	74	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	199						
25	24	143/2	149/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	200						
25	24	69	72	1.5		0	0	Chord	3/4	1	2	3/8	1/4	3/2	201						
26	25	72	75	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	202						
26	25	73	76	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	203						
26	25	74	77	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	204						
26	25	72	75	1.0		0	0	Chord	3/4	1	2	1/4	1/4	1	205						
26	25	73	76	1.0		1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	206						
26	25	74	77	1.0		1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	207						
26	25	72	75	1.0		0	0	Chord	3/4	1	3	1/4	1/4	1	208						
26	25	73	76	1.0		1/4	1/4	Chord	3/4	1	3	1/4	1/4	1	209						
26	25	74	77	1.0		1/2	1/2	Chord	3/4	1	3	1/4	1/4	1	210						
27	26	75	78	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	211						8
27	26	151/2	157/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	212						8
27	26	76	79	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	213						
27	26	153/2	159/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	214						
27	26	77	80	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	215						
27	26	155/2	161/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	216						
27	26	75	78	0.5		0	0	Chord	3/4	1	2	1/8	1/8	1	217						
28	27	78	81	0.25		0	0	Chord	3/4	1	1	1/16	1/16	1	218						9
28	27	313/4	325/4	0.25		1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	219						9
28	27	157/2	163/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	220						
28	27	79	82	0.25		1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	221						10
28	27	317/4	329/4	0.25		5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	222						10
28	27	159/2	165/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	223						
28	27	80	83	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	224						
28	27	78	81	1.0		0	0	Chord	3/4	1	2	1/4	1/4	1	225						
28	27	79	82	1.0		1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	226						
28	27	80	83	1.0		1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	227						
28	27	80	83	1.0		1/2	1/2	Chord	3/4	1	3	1/4	1/4	1	228						
28	27	80	83	1.0		1/2	1/2	Chord	3/4	1	4	1/4	1/4	1	229						
29	28	81	84	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	230						11
29	28	163/2	169/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	231						11
29	28	82	85	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	232						
29	28	165/2	171/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	233						
29	28	83	86	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	234						
29	28	167/2	173/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	235						
29	28	81	84	1.0		0	0	Chord	3/4	1	2	1/4	1/4	1	236						
29	28	81	84	1.0		0	0	Chord	3/4	1	3	1/4	1/4	1	237						
30	29	84	87	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	238						
30	29	85	88	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	239						
30	29	86	89	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	240						
30	29	84	87	1.0		0	0	Chord	3/4	1	2	1/4	1/4	1	241						
30	29	85	88	1.0		1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	242						
30	29	86	89	1.0		1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	243						
30	29	84	87	1.0		0	0	Chord	3/4	1	3	1/4	1/4	1	244						
30	29	85	88	1.0		1/4	1/4	Chord	3/4	1	3	1/4	1/4	1	245						
30	29	86	89	1.0		1/2	1/2	Chord	3/4	1	3	1/4	1/4	1	246						
31	30	87	90	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	247						
31	30	175/2	181/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	248						
31	30	88	91	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	249						
31	30	177/2	183/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	250						
31	30	89	92	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	251						
31	30	87	90	0.5		0	0	Chord	3/4	1	2	1/8	1/8	1	252						
31	30	89	92	1.0		1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	253						
31	30	87	90	0.5		0	0	Chord	3/4	1	3	1/8	1/8	1	254						
31	30	89	92	1.0		1/2	1/2	Chord	3/4	1	3	1/4	1/4	1	255						
32	31	181/2	187/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	256						
32	31	91	94	1.5		1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	257						
32	31	185/2	191/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	258						
32	31	90	93	1.0		0	0	Chord	3/4	1	2	1/4	1/4	1	259						
32	31	91	94	2.0		1/4	1/4	Chord	3/4	1	2	1/2	1/2	1	260						
33	32	93	96	3.0		0	0	Chord	3/4	1	1	3/4	1/2	3/2	261						
33	32	93	96	3.0		0	0	Chord	3/4	1	2	3/4	1/2	3/2	262						
